35	RewriteCardinalDecadeFirstDigit_PrependPoint_Default_Default_Default_Default	rewriteApplyCardinalDecadeFirstDigit.fst,prependApplyPoint.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
36	RewriteEmailWeb_Default_Default_Default_Default_Default	rewriteApplyEmailWeb.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
37	RewriteCardinalDigit_Default_AppendSlash_SpaceInsertBefore_Default_Default	rewriteApplyCardinalDigit.fst,appendApplySlash.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
38	RewriteAbbreviateDirection_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyAbbreviateDirection.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
39	RewriteOrdinalAsCardinal_Default_Default_Default_Default_Default	rewriteApplyOrdinalAsCardinal.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
40	RewriteAbbreviateStreetType_Default_AppendComma_SpaceInsertBefore_Default_Default	rewriteApplyAbbreviateStreetType.fst,appendApplyComma.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
41	RewriteAbbreviateMeasure_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyAbbreviateMeasure.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
42	RewriteCardinalTwoDigit_Default_AppendComma_SpaceInsertBefore_Default_Default	rewriteApplyCardinalTwoDigit.fst,appendApplyComma.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
43	RewriteOrdinal_Default_Default_Default_Default_Default	rewriteApplyOrdinal.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
44	RewriteMathOperation_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyMathOperation.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
45	RewriteTimeOclock_Default_Default_Default_Default_Default	rewriteApplyTimeOclock.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
46	RewriteCardinalMagnitude1s_Default_Default_Default_Default_Default	rewriteApplyCardinalMagnitude1s.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
47	RewriteCardinalDecadeFirstDigit_Default_Default_SpaceInsertBefore_MarkStartMajorCurrency_Default	rewriteApplyCardinalDecadeFirstDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	MajorCurrency	
48	RewriteMathBy_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyMathBy.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
49	RewriteAbbreviateDirection_Default_AppendComma_SpaceInsertBefore_Default_Default	rewriteApplyAbbreviateDirection.fst,appendApplyComma.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
50	RewriteEmail_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyEmail.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
51	RewriteMathNegative_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyMathNegative.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
52	RewriteCapitalize_Default_Default_Default_Default_Default	rewriteApplyCapitalize.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
53	RewriteOrdinal_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyOrdinal.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
54	RewriteOrdinalAsCardinal_Default_AppendComma_SpaceInsertBefore_Default_Default	rewriteApplyOrdinalAsCardinal.fst,appendApplyComma.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
55	RewriteCardinalHundred2s_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyCardinalHundred2s.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
56	RewriteCardinalDecade_Default_Default_SpaceInsertBefore_MarkStartMajorCurrency_Default	rewriteApplyCardinalDecade.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	MajorCurrency	
57	RewriteCardinalDigit_Default_AppendSlash_Default_Default_Default	rewriteApplyCardinalDigit.fst,appendApplySlash.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
58	RewriteMathOver_Default_Default_Default_Default_Default	rewriteApplyMathOver.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
59	RewriteFeetInches_Default_Default_Default_Default_Default	rewriteApplyFeetInches.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
60	RewriteCardinalDigit_Default_AppendComma_SpaceInsertBefore_Default_Default	rewriteApplyCardinalDigit.fst,appendApplyComma.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
61	RewriteSpellCorrection_Default_Default_Default_Default_Default	rewriteApplySpellCorrection.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
62	RewriteOrdinalDecade_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyOrdinalDecade.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
63	RewriteCardinalMagnitude0s_Default_AppendComma_Default_Default_Default	rewriteApplyCardinalMagnitude0s.fst,appendApplyComma.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
64	RewriteCardinalDecade_Default_AppendComma_Default_Default_Default	rewriteApplyCardinalDecade.fst,appendApplyComma.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
65	RewriteAbbreviateTitle_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyAbbreviateTitle.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
66	RewriteCardinalDecade_Default_AppendComma_SpaceInsertBefore_Default_Default	rewriteApplyCardinalDecade.fst,appendApplyComma.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
67	RewriteCardinalTwoDigit_Default_AppendComma_SpaceInsertBefore_MarkStartMajorCurrency_Default	rewriteApplyCardinalTwoDigit.fst,appendApplyComma.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	MajorCurrency	
68	RewriteCardinalDigit_Default_AppendHyphen_SpaceInsertBefore_Default_Default	rewriteApplyCardinalDigit.fst,appendApplyHyphen.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
69	RewriteCardinalDecadeFirstDigit_PrependPoint_Default_SpaceInsertBefore_MarkStartMajorCurrency_Default	rewriteApplyCardinalDecadeFirstDigit.fst,prependApplyPoint.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	MajorCurrency	
70	RewriteEtc_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyEtc.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
71	RewriteAbbreviateTemperatureUnit_Default_Default_Default_Default_Default	rewriteApplyAbbreviateTemperatureUnit.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
72	RewriteCapitalize_Default_AppendComma_SpaceInsertBefore_Default_Default	rewriteApplyCapitalize.fst,appendApplyComma.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
73	RewriteOrdinalAsCardinal_Default_AppendComma_Default_Default_Default	rewriteApplyOrdinalAsCardinal.fst,appendApplyComma.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
74	RewriteEmailCap_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyEmailCap.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
75	RewritePluralCardinalDecade_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyPluralCardinalDecade.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
76	RewriteCardinalDecade_PrependPoint_Default_Default_Default_Default	rewriteApplyCardinalDecade.fst,prependApplyPoint.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
77	RewritePluralCardinalDecade_Default_Default_Default_Default_Default	rewriteApplyPluralCardinalDecade.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
78	Default_PrependPoint_Default_Default_Default_Default	prependApplyPoint.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
79	RewritePointToDot_Default_Default_Default_Default_Default	rewriteApplyPointToDot.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
